Datetime,Open,High,Low,Close,intvwap,Volume,v
16-05-2023 12:00,1656.65,1657.15,1653.6,1655.35,1655.21,1067355,8086047
16-05-2023 12:15,1655.45,1656,1654,1655.45,1655.14,431701,8517748
16-05-2023 12:30,1655.4,1655.65,1651.1,1652.8,1653.26,643237,9160985
16-05-2023 12:45,1652.85,1655.2,1651.35,1654.55,1652.85,524499,9685484
16-05-2023 13:00,1654.6,1656.95,1653.2,1653.95,1655.29,449492,10134976
16-05-2023 13:15,1654,1654.95,1652.3,1652.9,1653.4,403033,10538009
16-05-2023 13:30,1652.95,1653.75,1651,1651.85,1652.43,548650,11086659
16-05-2023 13:45,1651.75,1654.7,1650.4,1653.35,1652.83,715376,11802035
16-05-2023 14:00,1653.45,1654.95,1649.55,1650.85,1651.74,874161,12676196
16-05-2023 14:15,1650.75,1652.85,1649.25,1650.15,1651.11,519827,13196023
16-05-2023 14:30,1650.05,1651.9,1648.5,1649.95,1649.6,724972,13920995
16-05-2023 14:45,1649.75,1651.9,1647.35,1649.3,1649.64,628932,14549927
16-05-2023 15:00,1649.55,1651.55,1645.15,1647.15,1648.36,859847,15409774
16-05-2023 15:15,1647.2,1649.1,1644,1646,1646.36,950752,16360526
17-05-2023 09:15,1648,1649,1639.5,1646.85,1645.05,913582,913582
17-05-2023 09:30,1646.3,1649.75,1644.2,1647.65,1647.51,737704,1651286
17-05-2023 09:45,1647.55,1648.1,1644,1647.4,1645.78,982404,2633690
17-05-2023 10:00,1646.45,1648,1644.7,1646.55,1646.2,316476,2950166
17-05-2023 10:15,1646.5,1647.55,1642.5,1644,1644.89,413640,3363806
17-05-2023 10:30,1644.2,1647,1641.75,1641.85,1644.35,1300690,4664496
17-05-2023 10:45,1642,1643,1640.3,1642.25,1641.51,539589,5204085
17-05-2023 11:00,1642.5,1645.5,1641.15,1645.4,1643.23,534110,5738195
17-05-2023 11:15,1645.45,1646.4,1644.25,1645.75,1645.27,314222,6052417
17-05-2023 11:30,1645.85,1645.85,1642.65,1644.4,1644.13,330327,6382744
17-05-2023 11:45,1644.45,1645.05,1642.05,1642.85,1643.98,303970,6686714
17-05-2023 12:00,1642.9,1642.9,1637.55,1639,1639.6,1086696,7773410
17-05-2023 12:15,1638.65,1639,1635,1636,1636.99,614689,8388099
17-05-2023 12:30,1636.5,1638.4,1635.25,1636.1,1637.03,517876,8905975
17-05-2023 12:45,1636.05,1638.45,1630.65,1632.7,1633.92,507696,9413671
17-05-2023 13:00,1632.65,1634.8,1630.25,1630.25,1632.86,286081,9699752
17-05-2023 13:15,1630.35,1630.95,1627,1627.95,1629.15,623488,10323240
17-05-2023 13:30,1628,1629.5,1625.35,1628.05,1627.21,599423,10922663
17-05-2023 13:45,1627.4,1633.1,1627.15,1632.05,1630.58,632415,11555078
17-05-2023 14:00,1632.15,1635,1629.45,1629.9,1631.75,830382,12385460
17-05-2023 14:15,1629.5,1631,1627.8,1628.95,1628.78,471923,12857383
17-05-2023 14:30,1629,1636.2,1628.95,1635.4,1633.36,686157,13543540
